2025-11-15_14-49-12,---,Player.py:2025-11-15_14-49-12;draft.py:2025-11-15_14-49-12
2025-11-15_14-49-42,---,Player.py:2025-11-15_14-49-12;draft.py:2025-11-15_14-49-12
2025-11-15_14-59-47,0,Player.py:2025-11-15_14-59-47;draft.py:2025-11-15_14-49-12
2025-11-15_15-15-09,---,Board.py:2025-11-15_15-15-09;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_15-20-14,---,Board.py:2025-11-15_15-20-14;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_15-30-06,---,Board.py:2025-11-15_15-30-06;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_15-30-15,0,Board.py:2025-11-15_15-30-06;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_15-35-17,---,Board.py:2025-11-15_15-35-17;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_15-36-51,0,Board.py:2025-11-15_15-36-51;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_16-08-16,0,Board.py:2025-11-15_16-08-16;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_16-27-35,---,Board.py:2025-11-15_16-27-35;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_16-31-13,---,Board.py:2025-11-15_16-31-13;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_16-37-36,---,Board.py:2025-11-15_16-37-36;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_17-10-14,---,Board.py:2025-11-15_17-10-14;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_17-16-19,---,Board.py:2025-11-15_17-16-19;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_17-22-52,---,Board.py:2025-11-15_17-22-52;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_17-44-40,---,Board.py:2025-11-15_17-44-40;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_18-00-31,---,Board.py:2025-11-15_18-00-31;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_21-46-26,---,Board.py:2025-11-15_21-46-26;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_21-46-40,0,Board.py:2025-11-15_21-46-26;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_21-46-54,0,Board.py:2025-11-15_21-46-26;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_21-53-21,---,Board.py:2025-11-15_21-53-21;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_22-02-14,---,Board.py:2025-11-15_22-02-14;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_22-05-39,---,Board.py:2025-11-15_22-05-39;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_22-31-57,0,Board.py:2025-11-15_22-31-57;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_22-34-40,---,Board.py:2025-11-15_22-34-40;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_23-03-56,0,Board.py:2025-11-15_23-03-56;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_23-04-30,---,Board.py:2025-11-15_23-04-30;Player.py:2025-11-15_15-15-09;draft.py:2025-11-15_14-49-12
2025-11-15_23-12-12,0,draft.py:2025-11-15_23-12-12;Board.py:2025-11-15_23-12-12;Player.py:2025-11-15_15-15-09
2025-11-15_23-12-19,---,draft.py:2025-11-15_23-12-12;Board.py:2025-11-15_23-12-12;Player.py:2025-11-15_15-15-09
2025-11-15_23-14-20,---,draft.py:2025-11-15_23-14-20;Board.py:2025-11-15_23-12-12;Player.py:2025-11-15_15-15-09
2025-11-15_23-16-00,---,draft.py:2025-11-15_23-14-20;Board.py:2025-11-15_23-12-12;Player.py:2025-11-15_23-16-00
2025-11-15_23-20-10,---,draft.py:2025-11-15_23-14-20;Board.py:2025-11-15_23-20-10;Player.py:2025-11-15_23-20-10
2025-11-15_23-21-55,0,Board.py:2025-11-15_23-21-55;Player.py:2025-11-15_23-20-10;draft.py:2025-11-15_23-14-20
2025-11-15_23-22-01,---,Board.py:2025-11-15_23-21-55;Player.py:2025-11-15_23-20-10;draft.py:2025-11-15_23-14-20
2025-11-15_23-24-33,0,draft.py:2025-11-15_23-24-33;Board.py:2025-11-15_23-24-33;Player.py:2025-11-15_23-20-10
2025-11-15_23-27-35,0,draft.py:2025-11-15_23-27-35;Board.py:2025-11-15_23-27-35;Player.py:2025-11-15_23-20-10
2025-11-15_23-27-46,10,draft.py:2025-11-15_23-27-46;Board.py:2025-11-15_23-27-35;Player.py:2025-11-15_23-20-10
2025-11-15_23-28-06,70,draft.py:2025-11-15_23-27-46;Board.py:2025-11-15_23-28-06;Player.py:2025-11-15_23-20-10
2025-11-15_23-28-37,70,draft.py:2025-11-15_23-27-46;Board.py:2025-11-15_23-28-06;Player.py:2025-11-15_23-20-10
2025-11-15_23-32-17,100,draft.py:2025-11-15_23-27-46;Board.py:2025-11-15_23-32-17;Player.py:2025-11-15_23-20-10
